experiment,task,duo_n_runs,duo_max_mean,duo_max_std,duo_nmax_mean,duo_nmax_std,gtg_n_runs,gtg_max_mean,gtg_max_std,gtg_nmax_mean,gtg_nmax_std,duo_mfull_n_runs,duo_mfull_max_mean,duo_mfull_max_std,duo_mfull_nmax_mean,duo_mfull_nmax_std,duo_mfull_text_n_runs,duo_mfull_text_max_mean,duo_mfull_text_max_std,duo_mfull_text_nmax_mean,duo_mfull_text_nmax_std,duo_st_text_n_runs,duo_st_text_max_mean,duo_st_text_max_std,duo_st_text_nmax_mean,duo_st_text_nmax_std
multi_task/gtopx2_gtopx3_gtopx4_gtopx6_frac1.0_sigma0.0/1000x64_k20_eps0.01,gtopx2,5,-110.463,14.335,1.0,0.0,,,,,,5,-110.869,13.664,1.0,0.0,8,-60.605,30.966,1.0,0.0,5,-75.231,20.343,1.0,0.0
multi_task/gtopx2_gtopx3_gtopx4_gtopx6_frac1.0_sigma0.0/1000x64_k20_eps0.01,gtopx3,5,-60.394,12.866,1.0,0.0,,,,,,5,-51.175,14.311,1.0,0.0,8,-29.31,2.237,1.0,0.0,5,-51.9,13.122,1.0,0.0
multi_task/gtopx2_gtopx3_gtopx4_gtopx6_frac1.0_sigma0.0/1000x64_k20_eps0.01,gtopx4,5,-79.663,14.993,1.0,0.0,,,,,,5,-63.167,13.669,1.0,0.0,8,-57.54,14.848,1.0,0.0,5,-67.212,11.006,1.0,0.0
multi_task/gtopx2_gtopx3_gtopx4_gtopx6_frac1.0_sigma0.0/1000x64_k20_eps0.01,gtopx6,5,-57.78,8.526,1.0,0.0,,,,,,5,-61.664,10.439,1.0,0.0,8,-35.646,12.122,1.0,0.0,5,-58.092,2.617,1.0,0.0
multi_task/gtopx2_gtopx3_gtopx4_gtopx6_frac1.0_sigma0.0/1000x64_k20_eps0.05,gtopx2,5,-99.293,22.175,1.0,0.0,,,,,,5,-110.869,13.664,1.0,0.0,8,-60.605,30.966,1.0,0.0,5,-75.231,20.343,1.0,0.0
multi_task/gtopx2_gtopx3_gtopx4_gtopx6_frac1.0_sigma0.0/1000x64_k20_eps0.05,gtopx3,5,-58.31,14.914,1.0,0.0,,,,,,5,-51.175,14.311,1.0,0.0,8,-29.31,2.237,1.0,0.0,5,-51.9,13.122,1.0,0.0
multi_task/gtopx2_gtopx3_gtopx4_gtopx6_frac1.0_sigma0.0/1000x64_k20_eps0.05,gtopx4,5,-69.035,7.255,1.0,0.0,,,,,,5,-63.167,13.669,1.0,0.0,8,-57.54,14.848,1.0,0.0,5,-67.212,11.006,1.0,0.0
multi_task/gtopx2_gtopx3_gtopx4_gtopx6_frac1.0_sigma0.0/1000x64_k20_eps0.05,gtopx6,5,-55.267,7.939,1.0,0.0,,,,,,5,-61.664,10.439,1.0,0.0,8,-35.646,12.122,1.0,0.0,5,-58.092,2.617,1.0,0.0
multi_task/gtopx2_gtopx3_gtopx4_gtopx6_frac1.0_sigma0.0/1000x64_k20_eps0.05_ret,gtopx2,5,-97.409,34.485,1.0,0.0,,,,,,5,-110.869,13.664,1.0,0.0,8,-60.605,30.966,1.0,0.0,5,-75.231,20.343,1.0,0.0
multi_task/gtopx2_gtopx3_gtopx4_gtopx6_frac1.0_sigma0.0/1000x64_k20_eps0.05_ret,gtopx3,5,-53.522,4.798,1.0,0.0,,,,,,5,-51.175,14.311,1.0,0.0,8,-29.31,2.237,1.0,0.0,5,-51.9,13.122,1.0,0.0
